CHR	POS	SNP	N	EFFECT_ALLELE	NON_EFFECT_ALLELE	FREQ_EFFECT	BETA	SE	PVALUE	AF_CASE	AF_CTRL	N_CASE	N_CTRL
1	1000000	rs1001	1800	2	4	0.1600000	0.11000	0.04800	0.0218	0.1900	0.1300	600	1200
1	2000000	rs1002	2000	2	4	0.2600000	0.09000	0.04000	0.0247	0.3200	0.2000	800	1200
1	3000000	rs1003	1600	2	4	0.3600000	-0.14000	0.04500	0.0019	0.4400	0.2800	500	1100
1	4000000	rs1004	2200	2	4	0.4600000	0.18000	0.05200	0.0006	0.5400	0.3800	900	1300
1	5000000	rs1005	1900	2	4	0.5600000	-0.09000	0.03800	0.0182	0.6400	0.4800	700	1200
2	1000000	rs2001	2100	2	4	0.2100000	0.17000	0.05000	0.0007	0.2600	0.1600	850	1250
2	2000000	rs2002	1700	2	4	0.3100000	-0.11000	0.04200	0.0091	0.3700	0.2500	550	1150
2	3000000	rs2003	2300	2	4	0.4100000	0.15000	0.05400	0.0059	0.5000	0.3200	950	1350
2	4000000	rs2004	1800	2	4	0.5100000	-0.07000	0.03900	0.0728	0.6000	0.4200	650	1150
2	5000000	rs2005	2000	2	4	0.6100000	0.13000	0.04600	0.0047	0.7000	0.5200	750	1250
